Magma V2.29-4     Fri May 22 2026 02:01:33 on mordell  [Seed = 1563987523]
Type ? for help.  Type <Ctrl>-D to quit.

Loading file "X1_N_positive_rank/X1_57.m"
The number of places of X1(57)(F2) of degrees 1..12 is:
[ 18, 9, 0, 0, 0, 2, 36, 18, 4, 216, 126, 381 ]
Searching RR spaces for 308 divisors... (this might take a moment)
Starting parallel computation with 308 tasks across 32 workers...
241/308 (78.25%) | elapsed=134142s | ETA=37292s | core-time/task=17811s
242/308 (78.57%) | elapsed=134150s | ETA=36586s | core-time/task=17738s
243/308 (78.90%) | elapsed=134177s | ETA=35891s | core-time/task=17669s
244/308 (79.22%) | elapsed=134373s | ETA=35245s | core-time/task=17622s
245/308 (79.55%) | elapsed=135302s | ETA=34791s | core-time/task=17672s
246/308 (79.87%) | elapsed=135963s | ETA=34267s | core-time/task=17686s
247/308 (80.20%) | elapsed=136458s | ETA=33700s | core-time/task=17678s
248/308 (80.52%) | elapsed=136461s | ETA=33014s | core-time/task=17607s
249/308 (80.84%) | elapsed=137035s | ETA=32470s | core-time/task=17610s
250/308 (81.17%) | elapsed=137578s | ETA=31918s | core-time/task=17610s
251/308 (81.49%) | elapsed=138255s | ETA=31396s | core-time/task=17626s
252/308 (81.82%) | elapsed=139606s | ETA=31023s | core-time/task=17727s
253/308 (82.14%) | elapsed=139611s | ETA=30350s | core-time/task=17658s
254/308 (82.47%) | elapsed=139963s | ETA=29756s | core-time/task=17633s
255/308 (82.79%) | elapsed=140164s | ETA=29132s | core-time/task=17589s
256/308 (83.12%) | elapsed=140458s | ETA=28530s | core-time/task=17557s
257/308 (83.45%) | elapsed=140481s | ETA=27877s | core-time/task=17491s
258/308 (83.77%) | elapsed=140510s | ETA=27230s | core-time/task=17427s
259/308 (84.09%) | elapsed=140862s | ETA=26649s | core-time/task=17403s
260/308 (84.41%) | elapsed=141103s | ETA=26049s | core-time/task=17366s
261/308 (84.74%) | elapsed=141271s | ETA=25439s | core-time/task=17320s
262/308 (85.06%) | elapsed=141348s | ETA=24816s | core-time/task=17263s
263/308 (85.39%) | elapsed=141577s | ETA=24224s | core-time/task=17226s
264/308 (85.71%) | elapsed=141627s | ETA=23604s | core-time/task=17166s
265/308 (86.04%) | elapsed=141633s | ETA=22982s | core-time/task=17102s
266/308 (86.37%) | elapsed=142163s | ETA=22446s | core-time/task=17102s
267/308 (86.69%) | elapsed=143040s | ETA=21965s | core-time/task=17143s
268/308 (87.02%) | elapsed=143061s | ETA=21352s | core-time/task=17081s
269/308 (87.34%) | elapsed=144729s | ETA=20983s | core-time/task=17216s
270/308 (87.66%) | elapsed=144941s | ETA=20399s | core-time/task=17178s
271/308 (87.98%) | elapsed=145716s | ETA=19894s | core-time/task=17206s
272/308 (88.31%) | elapsed=146422s | ETA=19379s | core-time/task=17226s
273/308 (88.63%) | elapsed=146590s | ETA=18793s | core-time/task=17182s
274/308 (88.96%) | elapsed=146987s | ETA=18239s | core-time/task=17166s
275/308 (89.29%) | elapsed=147643s | ETA=17717s | core-time/task=17180s
276/308 (89.61%) | elapsed=147660s | ETA=17120s | core-time/task=17120s
277/308 (89.94%) | elapsed=147976s | ETA=16560s | core-time/task=17094s
278/308 (90.26%) | elapsed=148056s | ETA=15977s | core-time/task=17042s
279/308 (90.59%) | elapsed=148398s | ETA=15424s | core-time/task=17020s
280/308 (90.91%) | elapsed=149711s | ETA=14971s | core-time/task=17109s
281/308 (91.23%) | elapsed=149772s | ETA=14390s | core-time/task=17055s
282/308 (91.55%) | elapsed=150132s | ETA=13841s | core-time/task=17036s
283/308 (91.88%) | elapsed=150702s | ETA=13312s | core-time/task=17040s
284/308 (92.21%) | elapsed=150866s | ETA=12749s | core-time/task=16999s
285/308 (92.53%) | elapsed=151734s | ETA=12245s | core-time/task=17036s
286/308 (92.86%) | elapsed=151810s | ETA=11677s | core-time/task=16985s
287/308 (93.18%) | elapsed=151969s | ETA=11119s | core-time/task=16944s
288/308 (93.51%) | elapsed=151996s | ETA=10555s | core-time/task=16888s
289/308 (93.83%) | elapsed=152231s | ETA=10008s | core-time/task=16856s
290/308 (94.16%) | elapsed=152480s | ETA=9464s | core-time/task=16825s
291/308 (94.48%) | elapsed=152508s | ETA=8909s | core-time/task=16770s
292/308 (94.80%) | elapsed=152645s | ETA=8364s | core-time/task=16728s
293/308 (95.13%) | elapsed=152735s | ETA=7819s | core-time/task=16681s
294/308 (95.45%) | elapsed=152909s | ETA=7281s | core-time/task=16643s
295/308 (95.78%) | elapsed=153029s | ETA=6743s | core-time/task=16599s
296/308 (96.10%) | elapsed=153058s | ETA=6205s | core-time/task=16546s
297/308 (96.43%) | elapsed=153162s | ETA=5672s | core-time/task=16502s
298/308 (96.75%) | elapsed=153543s | ETA=5152s | core-time/task=16487s
299/308 (97.08%) | elapsed=154077s | ETA=4637s | core-time/task=16489s
300/308 (97.41%) | elapsed=154785s | ETA=4127s | core-time/task=16510s
301/308 (97.73%) | elapsed=154944s | ETA=3603s | core-time/task=16472s
302/308 (98.05%) | elapsed=155530s | ETA=3090s | core-time/task=16480s
303/308 (98.38%) | elapsed=155666s | ETA=2568s | core-time/task=16440s
304/308 (98.70%) | elapsed=155847s | ETA=2050s | core-time/task=16405s
305/308 (99.02%) | elapsed=155966s | ETA=1534s | core-time/task=16363s
306/308 (99.35%) | elapsed=156141s | ETA=1020s | core-time/task=16328s
307/308 (99.67%) | elapsed=156549s | ETA=509s | core-time/task=16317s
308/308 (100.0%) | elapsed=156874s | ETA=0s | core-time/task=16298s
Computation finished. 0 divisors produced a non-constant function of degree <= 
18 (true), and 308 did not (false).
Total calculation time: 3789674.870 seconds

Total time: 3790579.490 seconds, Total memory usage: 593.47MB
